date,fullPrice,discountedPrice,currency,title,url
2026-02-26T14:09:21.823Z,129.9,129.9,R$,"",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=8leRl3cpunqwLFBkmWGYNx2Q7Bp1rYEs0SwdyZO5k97EEJ2PmvUBK4bIFIIw9cGTswTSWXFS5gVJpgRuC2j%2BtRgFpeYDW08asca4UHUPowTEpszYHhgPbix7AoHnelmxtTKYRZOIxuzYxVkfRH64HD93JaEEsDm4gOmURmF0P0cDboqGY%2B3skw6A%2FBBAlQ0Jy2nFYt%2BfsbzTyhWr5yfR8f9E%2BvFgCWt1%2FRnFyTj7ODo3qPMsDS%2Bx11v9EZjKDSyBuTBaDtkBbMEevkUwPUsaCv%2F8%2BXR7R%2BuD6slwbijt%2FwBdHw4VGyj3IblYPQlGVM%2BlWXlO6VMBk%2Fb0D642WZRkULv3tHMNXoJPa7D8PaVPEeYkpnzCwqxKxwNHcdpO4ccoL2DdEXkLtUJJCOyrsUaIa6aLgh9uor4Lejie6FuKISbPH5CkxxIhzegq47CUDttfFawAHN17zEteBdmxbcgzjMREtKMEACyMIYQtQMU8J0K8aknsJwHRvSXpngXwvFaCz5XphtuUoitGS3Tc1U6xTnomo%2FjI3L9c8LFO66PZjkxgCpGGxCHADFOu%2F0eIVGiCEKNJoxI3zPEKowI6r9P48USqnpEkFoK00AjvQ5HAVnCB7d3ce3eIwCEYN8zWo%2Fmvqclr6d9TVN5r0omjJapES%2F1x%2Fdz1jf6veMQ%2BsbdN8O40uEIg628yhTj8cRK300mD5DlFbUUc8%2B4DavI2v%2B4CBq3e29pFOw5v5rADKxqJq2Z9YX%2BzDLSFzyxD6JfAd6viDCUFVtFUYLUNfzKlU0njAmlYJ7XXjvR2r4SsojLQvbknwaAddWdi0waUGMScLxD%2F%2Fqw3ROSjULfYpWVoy5Hq%2FCUoY3X2CyMbv8wIvP5dDPqna%2FNJT5E7Q3TUNx4%3D&searchVariation=192174022399#polycard_client=search-desktop&is_advertising=true&searchVariation=192174022399&search_layout=grid&position=1&type=pad&tracking_id=92187c53-d225-4566-9d4c-ba7254610bb1
2026-03-04T12:00:54.341Z,67.99,67.99,R$,"",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=GH26hGXWgwI0MnqFHWp4GX2sxhr2xORacksIU73a9w9kOLlBwfk12wwCBgTTPP9anK7J8PqrJMhVCitDkf3Fep5ueh2nyGyWzb1f4kCgRchI3wcGL82A3Tcjeoa8%2F8%2FOAoaLMv4kSZNjdSD8xTa%2F%2BzXW3%2BJOt4dRHf%2Ffd7UblQscAqoUQs31x9QxoMSbts5zdSn1tvcSO85jmDeQRy90lVUBot%2Bmv3epuqNjJ0nUdfXLlmo%2BKZ1WmTYoYheKxGSgC5qCmt8cZHoB5nbLR9cjCUQMokRu6MiJ1P3YkZx0MhgMCEDfIjgoPvLN1pk4jtbfEri%2FeXKR%2F67JYam%2FUm%2Bincx04ZOJQkHzKYCcxs0fMAm2kzO9kIZ7mwXPjnWvBw1ywetJ%2BJikfpnIsdh5Tq0SB%2FRMQlLa6A9HQbvxOtvYgC0P1Xqjko9LA%2FzPsC%2BA2Fq%2FuOw3Gbh1NJqJJ%2Ft3KgKiG077iZFYjhfpnfC%2FOCgdKbvzHkbdhVWbJXm4utgBRakFQ4VAobzDnpQD1tNs1EXPBdYx4BSeNLxq7YtToU3tzKb9TKMCv8PkIQhcFTS6OKTkz4quDMBSEMDB8ELORna%2Fzw8t1dhCcPpDA677pW7RvXOfgsSGdAL4CXsQwfNkb7%2BD6o%2F62B1uRxpY24Ap8OcORIRaO0i0%2FCw1VZsQHXCq73SH6KIzuqSo0V%2FLVJrJLCxFLHlB8KNS2n2MM1jiFXUAjB3pXJyasgeczI6Mdwpapjf8RDLofe0JRK%2FIIVJUgNICkDJugP6vucnKAYJrMPa6hdWsV5bqDGzdEhSYzCqanBgEGORs3AHL9VPvo5PaG%2By%2FI61JPUPa8E7RabvcZ3JGV1LM%2BzTUppyRnN9rjaO%2BicQKArVA6VDzY2ntLQ%3D%3D&searchVariation=183498144037#polycard_client=search-desktop&is_advertising=true&searchVariation=183498144037&search_layout=grid&position=1&type=pad&tracking_id=bcea3fbc-dcdd-4c0e-992a-a2d9edf74f5d
2026-03-05T12:00:37.472Z,129.9,129.9,R$,"",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ky5WhI8x21obp9c%2BzAUnoMH%2F%2BqaxtMVkKMi8sZ8ep8mlBswYXtQc05Hpd0MK2s%2BGP1%2BRW2eWkcn%2BxmUoV664vs97hsDZ0wRvX%2BeT1U0nR4t1aAEbcZgquyKGPo9XkQ6S%2Fyqcc7%2Flx8y%2B8EqCimpcaCmNoRJ%2FafEqos0Zl0%2FvuWbjrl6y1g7Evy17YDgKN3XT7iG%2BK71SIlhubW5l4EDdT8M94a8zS2k2iR51nLNmDas%2Fc0Z8m2R0Xdh9qCE6JOYSfj9c%2FAtRRN1%2B72aP1L%2BfRowb92xEZo%2FFb7UFW6KfrRpbsC6lKgG8f6iPQdRl62RzV%2Fx6bKwiTD6oxxnJ5JgyWr0MVNMawzBJjeHL2gpoYhl7D0VwypBQyHWxh%2FyWIav3maqvN6xjH8nOpWmwXf%2BtbW25wFmsbvlyKrUz1SNmHMW7ajl36VkG9Nu8PfcXzzQUpolMY7WZ4VnVGK0MYJN6mhdkz96xNCA6Y%2F%2FIoURUhHr3CfrswOvpHJmXzHRxqBjLh2o4NjSKvCxVCDBX67U5%2BPJW30YjqVbIdwvhVm0JA0gYEYvasO3MTFGLBNXZLTKb%2BeDbHStt6u5lPpgTU1cy5Ra7%2Fs8UeNc1Q41l3pQY%2BYXoQDVHpWTVwaCJ8rnKS9YIKUULMZNfMWtsqbxTct%2FYnbLbUPtjX2oxK2JJtj2GrLvoZS8FcCJ94br3MP3bjcqWq3Jzsds4Yp4tSo3Zv18nof3JTI8S84DNflGPMdjcgRqsd9Ef4v4WHIyN7FNdzjqmuf9purtnMwr%2FZm51SJDGjjYGHGpHhXFeYRCX4N6FzFz81Ol7jQw0z64JgizsqXGuZ9hb%2BSzRkfmtKzyzByrbMz71z%2BK2d2ZyqiGJOJDyVxvdh2rFN7uKK3Ke1Q%3D%3D&searchVariation=192174022399#polycard_client=search-desktop&is_advertising=true&searchVariation=192174022399&search_layout=grid&position=1&type=pad&tracking_id=7ccd1cef-f4d4-4b4f-a9c0-833afaee6866
